"id";"Город дистрибьютора";"Торг_точка_грязная";"Торг_точка_грязная_адрес";"outlet_clean_id"
77;"Ростов-на-Дону";"Галумян А.Н. ИП";"он же";0
78;"Ростов-на-Дону";"Галушкин В.М. ИП ул. Октябрьская";"он же";0
79;"Ростов-на-Дону";"Гапонова Н.М. ИП";"он же";0
80;"Ростов-на-Дону";"Гараева А.В.ИП";"он же";0
81;"Ростов-на-Дону";"Гараева А.В.ИП Чапаева ул";"он же";0
82;"Ростов-на-Дону";"ИП Гараева И.В.";"х.Урывский, ул.Российская, 50";0
83;"Ростов-на-Дону";"Гевор";"-";0
84;"Ростов-на-Дону";"Гетманова С.И.ИП";"он же";0
85;"Ростов-на-Дону";"Глазкова С.В. ИП";"он же";0
86;"Ростов-на-Дону";"ИП Глушенко И.Н.";"он же";0
87;"Ростов-на-Дону";"Гнутов Э.Е. ИП";"он же";0
88;"Ростов-на-Дону";"Годенова С.А. ИП";"он же";0
89;"Ростов-на-Дону";"Голощапова С.Н. ИП";"он же";0
90;"Ростов-на-Дону";"Голубева Е.В. ИП";"он же";0
91;"Ростов-на-Дону";"Гончарова И.И. ИП";"он же";0
92;"Ростов-на-Дону";"Горбенко В.П. ИП м-н Меркурий";"он же";0
93;"Ростов-на-Дону";"Гордеева Н.Ю. ИП";"он же";0
94;"Ростов-на-Дону";"ИП Гордюкова И А";"р-к Привоз";0
95;"Ростов-на-Дону";"ИП Гордюкова И.А.";"р-к Привоз";0
96;"Ростов-на-Дону";"Горелова О.В. ИП";"он же";0
97;"Ростов-на-Дону";"ИП Готьван С.В.";"Азовский р-н, с. Маргаритово, ул.Луговая, 1";0
98;"Ростов-на-Дону";"ИП Готьван С.В. Маргаритово";"Азовский р-н, с. Маргаритово, ул.Луговая, 1";0
99;"Ростов-на-Дону";"ИП Григорьева Л.Ю.";"он же";0
100;"Ростов-на-Дону";"Григорян Ш.Г.";"г. Ростов-на-Дону ул. Ц. Кунникова 8б";0
101;"Ростов-на-Дону";"Гридин Н.А. ИП";"он же";0
102;"Ростов-на-Дону";"Гридин Н.А. ИП Садовая, 48";"он же";0
103;"Ростов-на-Дону";"Грузчики";"он же";0
104;"Ростов-на-Дону";"Грузчики Ночная смена";"он же";0
105;"Ростов-на-Дону";"Даллари Р.О. ИП Сальск";"он же";0
106;"Ростов-на-Дону";"Данилицкий В.В. ИП Садовая";"он же";0
107;"Ростов-на-Дону";"Датченко Ю.А. ИП ул.Социалистическая, 22";"он же";0
108;"Ростов-на-Дону";"ДЕЛИКАТЕС ООО";"г Аксай ул Советская 6";0
109;"Ростов-на-Дону";"Деликатес ООО";"он же";0
110;"Ростов-на-Дону";"Дерюгина Н.В. ИП";"он же";0
111;"Ростов-на-Дону";"Джумакова Г.З. ИП";"он же";0
112;"Ростов-на-Дону";"Джумакова Г.З. ИП ул. 26 бакинских комиссаров, 2-а";"он же";0
113;"Ростов-на-Дону";"Диол ООО";"он же";0
114;"Ростов-на-Дону";"Для Друзей ООО";"он же";0
115;"Ростов-на-Дону";"Для Друзей ООО ул. Пушкина";"он же";0
116;"Ростов-на-Дону";"Домашний очаг ООО";"он же";0
117;"Ростов-на-Дону";"Домашний очаг ООО пер.Украинский 16-б";"он же";0
118;"Ростов-на-Дону";"Дон ООО Мичуринская";"он же";0
119;"Ростов-на-Дону";"Дудаева С.И. ИП";"он же";0
120;"Ростов-на-Дону";"Духин Л.И ИП";"он же";0
121;"Ростов-на-Дону";"Евстратенко Т.С. ИП Катаева";"он же";0
122;"Ростов-на-Дону";"Женя Мамлаев";"-";0
123;"Ростов-на-Дону";"Женя Мамлаев";"он же";0
124;"Ростов-на-Дону";"Залкин Станислав Игоревич";"-";0
125;"Ростов-на-Дону";"ЗАО "" Эй Си Нильсен""";"344002, г. Ростов-на-Дону, пр. Буденовский, д.3/3";0
126;"Ростов-на-Дону";"ЗАО ""Ростовэлектроинструмент""";"-";0
127;"Ростов-на-Дону";"ЗАО ""Эй Си Нильсен""";"-";0
128;"Ростов-на-Дону";"Зиндяев И.С. ИП";"он же";0
129;"Ростов-на-Дону";"ИП Золотько";"он же";0
130;"Ростов-на-Дону";"Зубков А.С. ИП";"он же";0
131;"Ростов-на-Дону";"Зураб (ООО Виктория)";"-";0
132;"Ростов-на-Дону";"Ильичева Л.К. ИП";"он же";0
133;"Ростов-на-Дону";"Инглиш тудей";"г.Батайск ул.Рабочая 88";0
134;"Ростов-на-Дону";"ИП Абабасовская Т.А.";"г.Таганрог, ул. Александровская, 160а";0
135;"Ростов-на-Дону";"ИП Аббасовская Т.А. г.Таганрог";"г.Таганрог, ул. Александровская, 160а";0
136;"Ростов-на-Дону";"ИП Аведисьян Э.Х.";"-";0
137;"Ростов-на-Дону";"ИП Агабабян Е.М.";"-";0
138;"Ростов-на-Дону";"ИП Агаджанов М А";"Ростовская обл Белая Калитва ул Атаева 9а";0
139;"Ростов-на-Дону";"ИП Агаджанов М.А.";"Ростовская обл. Белая Калитва ул. Атаева 9а";0
140;"Ростов-на-Дону";"ИП Альбова ГИ";"-";0
141;"Ростов-на-Дону";"ИП Альбова ГИ";"Базарная 72 пав №6 (Ц рынок)";0
142;"Ростов-на-Дону";"ИП Альбова ГИ";"Базарная 72 пав.№6 (Ц. рынок)";0
143;"Ростов-на-Дону";"ИП Аненкова Г.А.";"он же";0
144;"Ростов-на-Дону";"ИП Анисимов Александр Сергеевич";"344000 Россия г Ростов-на-Дону ул Горького 28/4";0
145;"Ростов-на-Дону";"ИП Анисимов Александр Сергеевич";"344000, Россия, г. Ростов-на-Дону, ул. Горького 28/4";0
146;"Ростов-на-Дону";"ИП Анисимов Александр Сергеевич2";"г. Ростов-на-Дону, ул. Лермонтовская,102";0
147;"Ростов-на-Дону";"ИП Аракелян Р.А. Верхояновский";"г.Ростов н/Д, Верхояновский 11";0
148;"Ростов-на-Дону";"ИП Аракелян Р.А. Черепахина";"г.Ростов н/Д, Черепахина 94/25";0
149;"Ростов-на-Дону";"ИП Арустамян";"Ростовская обл г Морозовск ул Ворошилова 364/2";0
150;"Ростов-на-Дону";"ИП Арутюнян";"он же";0
151;"Ростов-на-Дону";"ИП Асмаева Т.А. Ленинградская";"г.Донецк, ул.Ленинградская, 38";0
152;"Ростов-на-Дону";"ИП Асмаева Т.А. Молодёжная";"г.Донецк, ул.Молодёжная, 1";0
153;"Ростов-на-Дону";"ИП Астапенков Б.Е.";"п.Тарасовский, ул.Кирова, 24";0
154;"Ростов-на-Дону";"ИП Атабекян Л.В.";"Куйбышево, ул.Пушкинская, 36а";0
155;"Ростов-на-Дону";"ИП Ашихина А.М.";"он же";0
156;"Ростов-на-Дону";"ИП Ашихина А.М.";"п.Тарасовский, Ц.Рынок";0
157;"Ростов-на-Дону";"ИП Бабаян А В";"он же";0
158;"Ростов-на-Дону";"ИП Бабиев 2";"он же";0
159;"Ростов-на-Дону";"ИП Бадалян";"р-к Днепровский";0
160;"Ростов-на-Дону";"ИП Балаев А.Р.";"-";0
161;"Ростов-на-Дону";"ИП Бахтин";"-";0
162;"Ростов-на-Дону";"ИП Бахтин";"г Батайск ул Горького 133 рынок лар № 285";0
163;"Ростов-на-Дону";"ИП Бейнешева Г В";"он же";0
164;"Ростов-на-Дону";"ИП Белов М Н Ленточная";"он же";0
165;"Ростов-на-Дону";"ИП Берест 2";"г.Новочеркасск ул Калинина 69";0
166;"Ростов-на-Дону";"ИП Берест Е В";"пр Ленина 22 ориентир ""21 век""";0
167;"Ростов-на-Дону";"ИП Берест Е.В.";"пр. Ленина 22 ориентир ""21 век""";0
168;"Ростов-на-Дону";"ИП Берест Е.В.";"пр. Ленина 22, ориентир ""21 век""";0
169;"Ростов-на-Дону";"ИП Блашковский Е. Г.";"г. Ростов-на-Дону, ул. Жмайлова 21 а";0
170;"Ростов-на-Дону";"ИП Близнюк Н.В.";"г.Новочеркасск, ул.Ларина/Буденновская";0
171;"Ростов-на-Дону";"ИП Богданова ЕВ";"-";0
172;"Ростов-на-Дону";"ИП Болдырев Д.А.";"-";0
173;"Ростов-на-Дону";"ИП Болдырев Ю.Д.";"344004г.Ростов -на-Дону,ул.Немировича-Данченко 78/6";0
174;"Ростов-на-Дону";"ИП Болотова Н.С.";"г.Шахты Комуунистический/Советская 74";0
175;"Ростов-на-Дону";"ИП Бороненко И.В.";"он же";0
176;"Ростов-на-Дону";"ИП Бугаенко Т.В.";"Азовский р-он., п. Пешково, ул.К.Маркса 35А";0
177;"Ростов-на-Дону";"ИП Буднев А.Н.";"-";0
178;"Ростов-на-Дону";"ИП Бурлаков А И";"г Новочеркас ул Московская 2 магазин Мир";0
179;"Ростов-на-Дону";"ИП Бурлаков А.И.";"г.Новочеркас ул.Московская 2 магазин Мир";0
180;"Ростов-на-Дону";"ИП Бурлаков А.И.";"г.Новочеркас, ул.Московская 2,магазин Мир";0
181;"Ростов-на-Дону";"ИП Бурмистрова";"классик № 883";0
182;"Ростов-на-Дону";"ИП Бутенко В.П.";"-";0
183;"Ростов-на-Дону";"ИП Бутенко Г.И.";"Неклиновский р-н, с.Покровское, ул.Привокзальная, 4";0
184;"Ростов-на-Дону";"ИП Бутенко Г.И.";"он же";0
185;"Ростов-на-Дону";"ИП Васильева Е.М.";"-";0
186;"Ростов-на-Дону";"ИП Верисова";"-";0
187;"Ростов-на-Дону";"ИП Ветрова О.С.";"Каменск-Шахтинский,ул.Щаденко 104 м-н ""Элегия""";0
188;"Ростов-на-Дону";"ИП Ветрова О.С.";"Каменск -Шахтинский,ул. Советская 35 а";0
189;"Ростов-на-Дону";"ИП Ветрова О.С.";"Рост.обл. г.Каменск-Шахтинский,ул.Советская 35 а";0
190;"Ростов-на-Дону";"ИП Вилонина Е.С.";"х.Таврический, ул.Мира, 30б";0
191;"Ростов-на-Дону";"ИП Вилонина Е.С. Отрадное";"с. Отрадное, ул.Ленина, 43 м-н ""Весна""";0
192;"Ростов-на-Дону";"ИП Винокурова";"-";0
193;"Ростов-на-Дону";"ИП Внуков Р.А.";"Азовский р-он. п. Овощной, ул. Полевая 203";0
194;"Ростов-на-Дону";"ИП Войнова Р.И.";"он же";0
195;"Ростов-на-Дону";"ИП Войнова Р.И.";"х.Плешаков, ул.Московская, 15";0
196;"Ростов-на-Дону";"ИП Воробьёва Н.В.";"Г.Батайск Торговое кольцо 31 пав.""Сувенир""";0
197;"Ростов-на-Дону";"ИП Воронянский И.Н.";"г.Донецк, пер.Панфилова, 71";0
198;"Ростов-на-Дону";"ИП Ворчукова Т.Н.2";"Врубовая 40";0
199;"Ростов-на-Дону";"ИП Ворчукова Т.Н.2";"Врубовая 40";0
200;"Ростов-на-Дону";"ИП Вязова Яна Андреевна";"г.Каменск-Шахтинский, ул.Ленина, 1А,магазин ""Спутник""";0
201;"Ростов-на-Дону";"ИП Гаврилов С.А.";"п.Глубокий, ул.Артёма 141";0
202;"Ростов-на-Дону";"ИП Гайдаш";"Нансена 144 а";0
203;"Ростов-на-Дону";"ИП Гапонова О.С.";"х.Некрасова Балка, ул.Светлая, 19";0
204;"Ростов-на-Дону";"ИП Геворгян М.Л.";"Ленина, 85, м-н ""Суфле""";0
205;"Ростов-на-Дону";"ИП Герасименко И. ул.Кваша 10/Васильева 30";"Азов, ул.Кваша 10/Васильева 30";0
206;"Ростов-на-Дону";"ИП Гирюнова С.И.";"с.Троицкое, ул.Ленина 40а";0
207;"Ростов-на-Дону";"ИП Глазунова Е Н";"г Таганрог ул Осипенко 48";0
208;"Ростов-на-Дону";"ИП Глазунова Е.Н.";"г.Таганрог ул.Осипенко 48";0
209;"Ростов-на-Дону";"ИП Глазунова Е.Н.";"г.Таганрог, ул.Осипенко,48";0
210;"Ростов-на-Дону";"ИП Глушенко И.Н.";"Азовский р-н, г.Азов, СНТ ""Мичуринец-3"", №205";0
211;"Ростов-на-Дону";"ИП Глушко Т Г 2";"р-к Привоз";0
212;"Ростов-на-Дону";"ИП Глушко Т.Г.2";"р-к Привоз";0
213;"Ростов-на-Дону";"ИП Говсоян";"Азов, ул.Победы 11а";0
214;"Ростов-на-Дону";"ИП Головешко Любовь Борисовна";"347510,Ростовская область пос. Орловский, пер. Первомайский, 97";0
215;"Ростов-на-Дону";"ИП Голубева Е. Е.";"-";0
216;"Ростов-на-Дону";"ИП Гомельский Р.А. Ковалевка";"п.Ковалёвка, конечная остановка, м-н Продукты";0
217;"Ростов-на-Дону";"ИП Горбунова Е.А.";"Матвеев-Курган, ул.Шевченко, 73";0
218;"Ростов-на-Дону";"ИП Гордиенко М.Н.";"он же";0
219;"Ростов-на-Дону";"ИП Гордиенко М.Н.";"с.В-Вознесенка, ул.Васильева, 28";0
220;"Ростов-на-Дону";"ИП Горобец Л Н (Любушкина)";"г Батайск Луначарского 188 (р-к Заря)";0
221;"Ростов-на-Дону";"ИП Горобец Л.Н. (Любушкина)";"г.Батайск Луначарского 188 (р-к Заря)";0
222;"Ростов-на-Дону";"ИП Горобец Л.Н. (Любушкина)";"г.Батайск,Луначарского 188 (р-к Заря)";0
223;"Ростов-на-Дону";"ИП Гостева Н.А.";"-";0
224;"Ростов-на-Дону";"ИП Готьван С.В. Пешково";"с.Пешково, ул.Луначарского, 102";0
225;"Ростов-на-Дону";"ИП Грибанова О.А.";"Азовский р-он. с. Кулешовка, ул.Пролетарская 41а";0
226;"Ростов-на-Дону";"ИП Гридин Н.А.";"он же";0
227;"Ростов-на-Дону";"ИП Гриценко А.Н.";"М.-Курганский р-н, с.Каменно-Андрианово, ул.Центральная, 13";0
228;"Ростов-на-Дону";"ИП Гришечкина В.В.";"Донецк, ул.Подтёлкова 89";0
229;"Ростов-на-Дону";"ИП Гришина Е.К.";"Азов, пер.Черноморский, рынок";0
230;"Ростов-на-Дону";"ИП Грунтовская О.В.";"Матвеев Курган, ул.Комсомольская, 60";0
231;"Ростов-на-Дону";"ИП Гукай С.В.";"он же";0
232;"Ростов-на-Дону";"ИП Гунченко В С";"г Аксай ул Ленина 16а";0
233;"Ростов-на-Дону";"ИП Гунченко В.С.";"г.Аксай ул.Ленина 16а";0
234;"Ростов-на-Дону";"ИП Гунченко В.С.";"г.Аксай, ул.Ленина,16а";0
235;"Ростов-на-Дону";"ИП Давидян В.В.";"-";0
236;"Ростов-на-Дону";"ИП Даллари О.В.";"-";0
237;"Ростов-на-Дону";"ИП Даллари Р.О.";"-";0
238;"Ростов-на-Дону";"ИП Даниленко Ю С";"он же";0
239;"Ростов-на-Дону";"ИП Данчева";"р-к Северный м 43";0
240;"Ростов-на-Дону";"ИП Данчева";"р-к Северный м.43";0
241;"Ростов-на-Дону";"ИП Данчева";"р-к Северный, м.43";0
242;"Ростов-на-Дону";"ИП Данчева 3";"р-к Шайба";0
243;"Ростов-на-Дону";"ИП Дарган В А";"г Ростов-на-Дону ул Орбитальная 66 """;0
244;"Ростов-на-Дону";"ИП Дарган В.А.";"г. Ростов-на-Дону ул. Орбитальная 66 """;0
245;"Ростов-на-Дону";"ИП Дарган В.А.";"г. Ростов-на-Дону, ул. Орбитальная, 66 """;0
246;"Ростов-на-Дону";"ИП Дедогрюк Н П";"он же";0
247;"Ростов-на-Дону";"ИП Деревянкина О.Н.";"п.Сосны, ул.Кирова, 12";0
248;"Ростов-на-Дону";"ИП Десятерик С А";"г Каменск-Шахтинский ул Ворошилова 161е м-н Уражай";0
249;"Ростов-на-Дону";"ИП Десятерик С.А.";"г.Каменск-Шахтинский ул. Ворошилова 161е м-н Уражай";0
250;"Ростов-на-Дону";"ИП Десятерик С.А.";"г.Каменск-Шахтинский,ул. Ворошилова 161е м-н Уражай";0
251;"Ростов-на-Дону";"ИП Джагарян А.Л.";"г.Новошахтинск ул.Советская 20";0
252;"Ростов-на-Дону";"ИП Джагарян А.Л.";"г.Новошахтинск, ул.Советская 20";0
253;"Ростов-на-Дону";"ИП Джагарян А.Л.";"г.Новошахтинск, ул.Советская 20";0
254;"Ростов-на-Дону";"ИП Дмитриенко В В";"Рост обл г Новочеркаск Платовский 77 азовский р-к павильон Виктория";0
255;"Ростов-на-Дону";"ИП Дмитриенко В,В,";"Рост обл. г.Новочеркаск Платовский 77 азовский р-к павильон Виктория";0
256;"Ростов-на-Дону";"ИП Дмитриенко В,В,";"Рост,обл. г.Новочеркаск,Платовский 77,азовский р-к павильон Виктория";0
257;"Ростов-на-Дону";"ИП Добрикова Юлия Викторовна";"344064, г. Ростов-на-Дону, 2-я Пятилетка, 12";0
258;"Ростов-на-Дону";"ИП Добрикова Юлия Викторовна";"344064, г. Ростов-на-Дону, ул. Немировича-Данченко, 78/3";0
259;"Ростов-на-Дону";"ИП Добровольская О.";"г. Батайск, СЖМ 3/1, магазин ""Олеся""";0
260;"Ростов-на-Дону";"ИП Долженко А.А.";"Неклиновский р-н, с.Самбек, ул.Центральная, 10б";0
261;"Ростов-на-Дону";"ИП Дорофеев В.А. Малокирсановка";"Малокирсановка";0
262;"Ростов-на-Дону";"ИП Драная С И";"г Каменск-Шахтинский ул Ворошилова 14/16 м-н продукты";0
263;"Ростов-на-Дону";"ИП Драная С.И.";"г.Каменск-Шахтинский,ул. Ворошилова 14/16 м-н продукты";0
264;"Ростов-на-Дону";"ИП Дрон";"Азов, пер. Литейный, 7";0
265;"Ростов-на-Дону";"ИП Дубовик Людмила Ивановна";"Краснодарский край,станица Кущевская, пер. Первомайский,101";0
266;"Ростов-на-Дону";"ИП Дубровина Г.В.";"ул.Туполева, 7";0
267;"Ростов-на-Дону";"ИП Дудкина В.В.";"Донецк, ул. Водопроводная, 18";0
268;"Ростов-на-Дону";"ИП Дудко Ю.М.";"-";0
269;"Ростов-на-Дону";"ИП Дудник Е.В.";"-";0
270;"Ростов-на-Дону";"ИП Дыбченко Е.П.";"Новочеркасск, Войкова, 72";0
271;"Ростов-на-Дону";"ИП Еременко А.К.";"г.Таганрог, Мариупольское шоссе 27/1 м-н Одиссей";0
272;"Ростов-на-Дону";"ИП Еременко А Н";"353741 Краснодарский край ст Ленинградская ул Светлая 66";0
273;"Ростов-на-Дону";"ИП Еременко А.Н.";"353741,Краснодарский край,ст.Ленинградская,ул.Светлая,66";0
274;"Ростов-на-Дону";"ИП Ермакова Е И";"346050Рост обл п Тарасовский улОстровско 55";0
275;"Ростов-на-Дону";"ИП Ермакова Е.И.";"346050Рост.обл.п.Тарасовский улОстровско 55";0
276;"Ростов-на-Дону";"ИП Ермакова Е.И.";"346050Рост.обл.п.Тарасовский,улОстровско 55";0
277;"Ростов-на-Дону";"ИП Жидков В.А.";"с.Приморка, ул. Ленина 143 б";0
278;"Ростов-на-Дону";"ИП Жовницкая И.Н.";"он же";0
279;"Ростов-на-Дону";"ИП Жовницкий О. В.";"-";0
280;"Ростов-на-Дону";"ИП Жукова О.И.";"с.Весёло-Вознесенка, ул.Школьная, 1г";0
281;"Ростов-на-Дону";"ИП Жупник Н В Дачная";"г Шахты ул г Шахты ул Дачная 2 а";0
282;"Ростов-на-Дону";"ИП Жупник Н,В,";"он же";0
283;"Ростов-на-Дону";"ИП Жупник Н.В. Дачная";"г. Шахты ул. г. Шахты ул. Дачная 2 а";0
284;"Ростов-на-Дону";"ИП Забузов А.М.";"г.Ростов н/Д, ул.Мечникова, 79";0
285;"Ростов-на-Дону";"ИП Задунц";"-";0
286;"Ростов-на-Дону";"ИП Заикина Л.П.";"он же";0
287;"Ростов-на-Дону";"ИП Заикина Л.П.";"х.Россошь, ул.Красноармейская, 34";0
288;"Ростов-на-Дону";"ИП Зинченко Т.И.";"М.Курган, ул.Комсомольская, 127";0
289;"Ростов-на-Дону";"ИП Золотарев Е Л";"Каменск-Шахтинский пер Коммунистический 92";0
290;"Ростов-на-Дону";"ИП Золотарев Е.Л.";"Каменск-Шахтинский пер.Коммунистический 92";0
291;"Ростов-на-Дону";"ИП Золотарев Е.Л.";"Каменск-Шахтинский, пер.Коммунистический 92";0
292;"Ростов-на-Дону";"ИП Иванкова Н.В.";"х.Каменногорье, ул.Спортивная, 8б";0
293;"Ростов-на-Дону";"ИП Иванник В.Н.";"Б.Калитва, ул.Калинина 8";0
294;"Ростов-на-Дону";"ИП Иванова А.М.";"п.Тарасовский, ул.Степная, 83";0
295;"Ростов-на-Дону";"ИП Иванова О.А.";"он же";0
296;"Ростов-на-Дону";"ИП Иванова О.А. Московская";"Азов, ул.Московская, 157";0
297;"Ростов-на-Дону";"ИП Иванова Т.А.";"он же";0
298;"Ростов-на-Дону";"ИП Иванова Т.А.";"Таганрог, ул.Адмирала Крюйса, 23";0
299;"Ростов-на-Дону";"ИП Иващенко И.А.";"-";0
300;"Ростов-на-Дону";"ИП Иващенко И А";"346400Ростовская область г Новочеркаск ул Спортивная 23";0
301;"Ростов-на-Дону";"ИП Иващенко И.А.";"346400Ростовская область,г.Новочеркаск,ул. Спортивная 23";0
302;"Ростов-на-Дону";"ИП Изюмова А Н";"он же";0
303;"Ростов-на-Дону";"ИП Исаев А.Ю.";"Аксай, ул.Гулаева, 42";0
304;"Ростов-на-Дону";"ИП Исаев А.Ю.";"он же";0
305;"Ростов-на-Дону";"ИП Исакова А.С.";"с.Займо-Обрыв, ул.Будённого, 49а";0
306;"Ростов-на-Дону";"ИП Исакова Н. С.";"г. Ейск, Краснодарский край, ул. Мичурина, 4";0
307;"Ростов-на-Дону";"ИП Казарян А.А.";"г.Ростов н/Д, ул.Ладная, 8";0
308;"Ростов-на-Дону";"ИП Каймакова Т А";"он же";0
309;"Ростов-на-Дону";"ИП Кайсин В.А.";"Б.Неклиновка, Памятный 5";0
310;"Ростов-на-Дону";"ИП Калина М.В.";"-";0
311;"Ростов-на-Дону";"ИП Капаева Аня";"г Азов рынок";0
312;"Ростов-на-Дону";"ИП Капралова";"Камышеваха, ул.Риволи, 1";0
313;"Ростов-на-Дону";"ИП Кардашян Г В";"г Ростов-на-Дону пр Коммунистический 27";0
314;"Ростов-на-Дону";"ИП Кардашян Г.В.";"г.Ростов-на-Дону пр.Коммунистический 27";0
315;"Ростов-на-Дону";"ИП Кардашян Г.В.";"г.Ростов-на-Дону,пр.Коммунистический,27,";0
